date;value;daily_value
2018-01-02;2.46;0.009347472434728665
2017-12-29;2.4;0.0091221570501121
2017-12-28;2.43;0.00923483117671875
2017-12-27;2.42;0.009197276787542563
2017-12-26;2.47;0.009385012219920164
2017-12-22;2.48;0.009422548355897398
2017-12-21;2.48;0.009422548355897398
2017-12-20;2.49;0.009460080843348706
2017-12-19;2.46;0.009347472434728665
2017-12-18;2.39;0.00908459170043674
2017-12-15;2.35;0.008934293745488375
2017-12-14;2.35;0.008934293745488375
2017-12-13;2.36;0.00897187371908803
2017-12-12;2.4;0.0091221570501121
2017-12-11;2.39;0.00908459170043674
2017-12-08;2.38;0.009047022695862772
2017-12-07;2.37;0.009009450035657451
2017-12-06;2.33;0.00885912282424517
2017-12-05;2.36;0.00897187371908803
2017-12-04;2.37;0.009009450035657451
2017-12-01;2.37;0.009009450035657451
2017-11-30;2.42;0.009197276787542563
2017-11-29;2.37;0.009009450035657451
2017-11-28;2.34;0.008896710114103534
2017-11-27;2.32;0.008821531875202737
2017-11-24;2.34;0.008896710114103534
2017-11-22;2.32;0.008821531875202737
2017-11-21;2.36;0.00897187371908803
2017-11-20;2.37;0.009009450035657451
2017-11-17;2.35;0.008934293745488375
2017-11-16;2.37;0.009009450035657451
2017-11-15;2.33;0.00885912282424517
2017-11-14;2.38;0.009047022695862772
2017-11-13;2.4;0.0091221570501121
2017-11-10;2.4;0.0091221570501121
2017-11-09;2.33;0.00885912282424517
2017-11-08;2.32;0.008821531875202737
2017-11-07;2.32;0.008821531875202737
2017-11-06;2.32;0.008821531875202737
2017-11-03;2.34;0.008896710114103534
2017-11-02;2.35;0.008934293745488375
2017-11-01;2.37;0.009009450035657451
2017-10-31;2.38;0.009047022695862772
2017-10-30;2.37;0.009009450035657451
2017-10-27;2.42;0.009197276787542563
2017-10-26;2.46;0.009347472434728665
2017-10-25;2.44;0.009272381913838501
2017-10-24;2.42;0.009197276787542563
2017-10-23;2.38;0.009047022695862772
2017-10-20;2.39;0.00908459170043674
2017-10-19;2.33;0.00885912282424517
2017-10-18;2.34;0.008896710114103534
2017-10-17;2.3;0.008746338996656888
2017-10-16;2.3;0.008746338996656888
2017-10-13;2.28;0.008671131472759441
2017-10-12;2.33;0.00885912282424517
2017-10-11;2.35;0.008934293745488375
2017-10-10;2.35;0.008934293745488375
2017-10-06;2.37;0.009009450035657451
2017-10-05;2.35;0.008934293745488375
2017-10-04;2.33;0.00885912282424517
2017-10-03;2.33;0.00885912282424517
2017-10-02;2.34;0.008896710114103534
2017-09-29;2.33;0.00885912282424517
2017-09-28;2.31;0.008783937266243491
2017-09-27;2.31;0.008783937266243491
2017-09-26;2.24;0.008520672466039159
2017-09-25;2.22;0.008445420971758821
2017-09-22;2.26;0.008595909297781645
2017-09-21;2.27;0.008633522217005307
2017-09-20;2.28;0.008671131472759441
2017-09-19;2.24;0.008520672466039159
2017-09-18;2.23;0.008483048552077044
2017-09-15;2.2;0.008370154809256292
2017-09-14;2.2;0.008370154809256292
