;SKIL;VISL;MARK;MSGM;VISM;MLRT;PANW;AREN;GAXYQ;GOOGL;DTII;FTNT;SBIG;ASTC;NSSC;APLD;ACMR;APYP;AVCTQ;DPSI;PLUS;ANET;GTCH;MCHP;SATT;AVNW;CSGP;DTST;VRNS;AMPG;SWI;SEII;WYY;AAPL;POWI;ZRFY;VRME;GRPN;HPTO;GIFT;STTH;LFER;GZIC;LGIQ;WSTL;QUIK;GIGA;OMQS;TGHI;FALC;SPSC;IPWR;DIRV;PSYC;DSGT;FUBO;BLIN;DELL;HEAR;AEYE;ICLD;ADGO;WDDD;NEON;INAPQ;AEEX;XRX;PALT;DZSI;SRAX;FNCX;VMEMQ;RTNB;LEDS;PRKR;ACLS;COYNQ;ELON;NFLX;ANIX;SDCH;CPAH;YPPN;QRVO;RBBN;DROP;MMPWQ;IDN;ADTM;ACIW;INVE;UBIQ;CTSH;PEGA;MANH;TCX;SHSP;MFON;AFOP;VUZI;PULS.1;IGOI;CRM;APPS;TRMB;MRVC;DLGC;THQIQ;NTWK;SATCQ;AUTO;ASUR;MOVED;PWAVQ;LVLT;RNWK;AMBTQ;PKT;COHR;PLCM;ORSX;WESTD;MSI;RFIL;AGNUQ;ESLRQ;NATI;PRGS;ATNY;INUV;RVBD;KEME;WAVED;ONSM;TESS;TXCCQ;OCLR;NETL.1;PRVTD;DTRM;VTSS;XCRA;ANLY
T-11;-21.2408;-208.6273;-397.618;41.0385;-27.0134;;-742.8003;35.4107;-54.4654;-15.0965;52.2733;107.9922;;-59.7461;;22.4887;31.6297;17.5793;10.6249;;20.3838;-119.6175;;59.2466;-910.6565;29.3696;-40.984;98.9239;12.9881;-84.7952;-56.2604;113.4903;91.2525;-62.4988;22.1492;-64.4769;-13.76;-6.4734;-140.5592;-3170.157;;-3.1776;-2467.0912;154.5808;;-1.7677;-1192.5511;24756.0871;48.9492;77.2312;50.7082;140.2382;;;-16.8765;40.9079;;13.4178;340.0114;42.569;41.4509;;-53.0175;-128.0051;-8.2491;-23.9324;51.6277;;137.2864;;241.8624;43.0619;475.9893;152.6536;-27.8706;-1.8221;19.6823;-235.213;123.8004;-546.2147;10.9284;485.6543;;47.3197;1.9592;6.6353;;174.1528;33.8312;-23.6342;143.3745;-31.2785;89.0828;;51.4677;55.8483;;-53.8949;;4.6958;24.1666;68.4284;-35.9883;;78.6231;-25.5078;272.8635;120.3572;85.9723;;-23.243;-18.6564;;16.6085;-87.0509;-199.5701;1108.1903;65.5618;79.2906;;-251.075;264.6635;72.7172;92.745;-395.3723;-29.2309;16.7504;-9.5591;794.3815;-652.5846;47.0174;3.9224;-7.7791;179.5303;45.7186;-152.4063;258.3881;1.164;341.9971;381.1098;;;-181.1704
T-10;-20.739;-208.2111;-388.6756;40.7475;-26.632;-38.7639;-796.9454;35.7167;-54.413;;;108.0131;;-58.4926;-49.4228;23.3414;30.8621;7.2413;10.7061;;20.3491;-110.2565;23.7737;58.8684;-911.3254;20.1337;-40.9613;122.8442;13.1616;-88.5927;-24.0819;112.541;77.7131;-60.8655;19.4781;-62.696;-14.1774;-3.7162;-141.0957;-9203.1246;;;;154.941;-13.5126;-2.3832;-1184.4616;24742.2845;48.66;78.3467;49.011;141.2513;-74.3949;;-17.5069;42.8175;137.7357;97.7246;343.5067;43.0138;41.7379;;-51.0643;-126.5004;-6.6208;20.3558;60.1413;-88.625;130.417;;243.2677;43.0953;476.3268;152.6719;-28.1446;-0.6625;143.3654;-218.3878;123.5913;-526.3021;10.7008;485.5252;67.1274;;2.2958;6.7165;1339.7177;174.2609;;-20.496;;-31.3013;44.6654;-24.7353;50.085;56.017;-470.969;;-7.4689;3.7824;35.0597;-1994.6199;-36.4534;-21.6406;83.9812;-25.8372;;119.6265;85.9721;218.7335;0.9361;-16.2117;17.6959;17.5407;-85.9976;-63.6645;1129.5037;66.9052;74.8651;12.6465;-141.6628;263.3382;68.3857;63.8326;-367.8247;-29.4079;17.0035;;802.6838;-646.5993;138.7935;-78.1886;-5.9616;180.7943;44.9763;-146.9042;257.2624;1.7576;340.8109;;;38.7011;-20.2756
T-8;-21.3284;;-375.5286;40.7908;-27.8142;-36.8121;-812.096;35.9532;-54.5513;2.3937;;107.0148;1.9828;-52.4349;-49.9595;23.3089;31.0104;10.9635;10.7615;424.3011;20.2138;-118.9348;24.0352;62.3487;-912.2467;;-40.9513;133.2191;13.5444;-88.7788;-23.2585;;82.6988;-55.8959;23.3196;-65.3447;-9.7507;-8.4814;-141.8965;-3361.9597;;-3.2483;-2336.6783;;-12.1169;-2.3752;-1192.3996;25624.195;122.6364;74.7969;48.1863;139.4728;-73.5942;-23.8436;;;133.6103;12.798;341.137;43.3903;41.4629;1054574.8162;-57.6339;-127.5523;-8.1016;6.0103;53.2542;;130.427;18.5919;222.7488;43.1079;477.2272;152.6444;-23.7938;-2.2499;216.1723;-218.9257;;;10.8487;485.2741;;46.9064;1.9048;;1339.3289;174.1587;32.3152;-25.1394;152.8784;-31.2595;89.596;-24.9656;;56.0531;-470.8971;-53.8826;-8.0201;-3.4224;35.178;81.0326;-35.3002;-27.7464;83.0242;-26.0492;274.7041;124.2332;85.9723;358.3604;-0.7911;;14.4959;27.727;;316.1881;1127.748;64.8117;75.5468;12.5005;-253.3355;264.5288;72.3919;180.0116;-478.5193;-28.6236;17.4516;-10.6896;816.4782;;48.8184;4.2176;-7.8322;172.0102;45.1705;-147.3837;259.1927;2.7633;;;8.1402;34.2287;-234.5147
T-7;-23.2771;-209.0091;-388.9074;41.3741;-28.6734;-38.0349;;35.3904;-54.3737;-17.283;;107.3295;1.1635;-59.4854;-49.3761;22.1937;30.8556;;10.7148;426.586;20.3064;-148.4483;;66.0873;-995.683;-23.8054;-40.9638;109.3655;14.2402;-88.6107;-26.3564;;93.6859;-59.3959;22.3037;;-14.0167;-23.222;;;26.2084;-3.737;-2398.7272;151.4906;-11.0396;-2.6549;-1196.5436;;;;49.5198;140.3641;-73.5306;;-17.0764;41.0071;138.3606;12.7926;340.1905;44.9529;41.7985;1032441.0929;-51.0872;;-5.3878;33.7144;42.567;-84.8358;137.1627;18.639;244.2852;43.1635;466.807;153.0923;-28.2461;-0.7081;147.0965;-219.1544;123.8019;-545.1845;10.9162;486.0483;67.0723;46.3493;1.8924;6.5375;1338.6641;188.6222;32.094;-23.542;150.7576;-31.2841;89.4826;-24.9913;50.0977;56.0355;-472.2023;-53.8572;-7.929;-0.1486;35.0862;67.3133;-36.5885;-23.8294;79.7218;-25.6509;273.9417;120.5999;85.9721;215.233;4.8214;-14.6957;16.1302;20.3372;-87.0911;-63.5324;1129.57;67.0415;75.5547;8.2969;-246.5582;258.2231;69.0551;84.516;-387.5317;-32.083;16.3096;-8.3278;805.3126;-648.0253;45.9952;3.9681;-2.654;180.264;48.5131;-150.728;;-3.7586;335.6635;379.6917;6.6164;39.7253;-7.1062
T-6;-22.3818;-211.5297;-387.5885;40.6944;-27.8738;-37.039;-697.2288;35.0738;-54.3276;-17.764;;107.7443;1.8195;-58.1906;-48.0519;22.8546;30.9787;;10.6242;422.7153;20.4484;-119.0815;23.8304;60.9279;-916.366;17.2064;-40.9588;132.4802;13.3383;-90.4825;-24.9083;;107.5698;-56.0104;22.1584;-66.4108;-13.6933;-7.0997;-137.3554;-3368.5307;24.6347;;-2419.894;151.1491;-11.6116;-4.5443;-1188.803;25127.7484;22.434;78.1398;49.8665;143.1496;-73.7984;-19.9053;-17.2647;;138.1709;14.2815;356.8292;42.991;47.8459;1027889.6449;-52.1886;-127.8376;;19.7403;56.5442;-91.1925;;17.8652;245.048;;;152.2882;-29.172;-0.4578;168.1116;-218.5623;123.709;-529.3743;10.7999;485.2898;67.1846;47.0796;1.3487;;1338.9631;174.243;;-23.9864;151.1021;-31.2384;89.0803;-24.9556;49.9315;56.0696;-470.7175;-53.8907;-7.0614;-18.8651;35.1954;80.5313;-36.6444;-22.473;76.1529;-25.3067;273.0511;120.4223;85.9723;216.5744;;-15.051;;15.5298;-85.5281;-68.0304;1132.3868;66.0497;75.7113;16.3223;-251.1913;264.434;67.6496;97.9417;-400.3236;;15.9407;-9.6367;798.839;-637.0993;46.3676;3.2206;-7.9917;182.944;44.8255;-145.9019;260.5466;1.8065;74.3907;;7.4757;;
T-5;-21.1807;-206.4608;-390.9561;40.7366;-27.6552;-38.2525;-724.5885;35.2794;-54.4168;-17.4772;;109.8929;1.6266;-52.9397;-49.4127;22.5102;30.6709;4.0222;10.5124;424.8445;20.3912;;23.6551;69.671;;20.338;-40.9138;149.3718;12.9567;-87.6891;-44.4164;113.6672;89.5079;-59.661;32.1578;;-13.0732;-9.2657;-140.8563;;;;-2105.5904;152.9637;-11.8099;-2.1529;-1192.8673;24572.299;48.9215;;48.9907;140.7972;-74.2084;-25.0718;;;141.3163;13.3341;339.5512;43.0535;41.4473;945864.4742;-51.5724;-127.3961;-6.9408;37.121;37.6674;-105.8323;132.3564;18.6205;243.1034;43.1573;490.1537;152.4682;-18.3106;-1.8243;133.4043;-219.5613;123.7848;-676.5445;10.9109;484.7327;67.0746;46.8783;2.0615;;1338.065;174.1489;32.3304;;152.3045;-31.2676;95.3528;-24.9218;50.0434;56.0159;-470.8051;-53.908;-7.6888;;35.083;68.4304;-36.4964;-23.4668;79.2321;-25.7035;;119.9381;85.9723;215.278;10.8018;-12.5609;17.8871;17.742;-86.8624;-67.4143;1129.8138;66.3978;75.0619;16.6225;-252.8213;266.2436;65.671;78.9941;-382.2705;-28.7655;17.4889;-0.8244;799.5432;-645.958;;4.2686;-7.0535;178.548;44.6067;-146.6328;257.1739;2.0786;405.4057;353.6736;3.5315;61.6692;32.3923
T-4;-21.7581;-209.2223;-338.2951;42.2015;;-37.7674;-805.4329;35.5168;-54.2503;-28.1207;48.6697;107.7471;1.6479;-58.4163;-52.7328;22.4575;22.5262;8.6643;10.6881;427.0482;20.3698;-117.5771;23.0484;62.262;-926.8514;11.1089;-40.9656;118.0886;13.4348;-88.768;-25.4314;113.9655;;-54.3853;21.6751;;-14.0048;-6.6657;-143.3701;-3163.6787;;-1.7712;-2418.2153;153.5827;-12.6455;-2.3483;-1056.7828;25098.5326;48.7002;77.8037;48.9359;140.4036;-73.8478;-23.9233;;40.6569;138.1267;13.4158;340.139;43.0409;;1032652.7861;-55.6659;-127.5562;-7.0355;13.4422;51.9789;-90.0361;175.4041;18.6374;275.0316;43.1977;476.5967;;-28.2826;;;-218.7935;123.793;-525.5899;10.8616;;66.9937;46.8013;1.8651;;1338.3728;174.1828;32.2835;-23.5113;153.4815;;89.0187;-24.6597;49.4679;;-470.6348;-53.8542;;;;;;;;;273.3724;;85.9718;217.0156;0.7395;-15.3718;15.2386;25.8493;-86.8794;-59.2681;;66.1346;75.2629;14.5173;;265.1912;69.7632;86.8954;-389.7987;-32.066;17.5746;-9.3683;809.6303;-645.2034;48.2726;4.1766;-8.4231;;44.9909;-145.1232;258.5181;-3.2192;359.3976;382.3062;;;5675.8274
T+1;-17.9791;-206.3482;-392.0164;;-27.9364;-38.5223;-792.8539;;-54.4071;-23.458;;108.373;0.9484;-75.969;-49.3898;22.3258;30.7933;4.9377;10.5478;423.523;20.4404;-118.1592;23.2946;74.3827;-910.8068;17.185;-40.9616;122.183;13.5347;-83.691;-24.5011;113.6487;196.9875;-64.571;22.6639;-67.5595;-17.5172;-8.4321;-141.0009;-3353.3965;25.4246;;-2439.8802;153.5336;-11.8382;;-1194.6611;25286.818;48.0381;77.7748;49.3139;139.9148;-74.0347;-24.8823;-17.3718;36.2101;137.9269;16.6531;341.4968;;41.5273;1113898.8071;-51.4425;-125.4773;-6.823;;52.2857;-89.6361;134.1007;;243.1676;42.9344;516.3287;152.3881;-28.5717;-1.3665;235.0066;-218.9169;123.9809;144.0249;11.0443;602.7107;67.0576;46.8441;1.8317;6.7879;;174.1323;32.2872;-24.251;151.932;-31.368;86.9432;-24.9021;49.989;;-470.8076;-53.9167;-6.8251;0.4381;35.0667;64.813;-36.6915;-22.6915;78.2674;-23.8691;273.2463;120.9668;85.9723;215.0657;-5.9799;-14.6928;15.7073;21.2919;-88.3417;-71.5436;1167.1285;;75.4754;14.1192;-250.5871;290.2986;68.7422;80.8486;-384.0375;-28.8468;17.2791;-8.46;792.6059;-620.2669;49.8305;3.8735;-9.7129;181.4333;44.8297;-155.0307;256.8721;1.5837;281.4456;382.0123;;40.9927;
T+2;-21.7758;-209.1731;;41.2651;-26.591;-38.2091;-725.5781;36.4071;-54.2677;-18.1682;;107.7387;1.3729;-58.5011;-49.672;;31.1248;10.3268;10.6716;426.2705;20.3456;-124.2051;23.4184;62.4571;-892.6631;20.2187;-41.0024;158.5662;14.0029;-88.5705;-25.3417;113.3311;94.4631;-57.0943;21.524;-65.8223;-14.3666;-6.7534;-142.6895;-2675.9921;26.3989;-3.4535;-2464.0969;158.1242;-10.2723;-2.3836;-1207.1373;24484.4983;48.9874;76.843;49.1963;140.3748;-74.0307;-18.8543;-17.3595;39.6314;139.906;;341.1886;41.6118;42.2275;1031566.9736;;-127.6076;;;148.6822;-92.6691;131.8931;18.6639;272.961;43.1256;476.292;152.4277;-30.1968;-1.7832;163.4438;-219.2741;123.7974;-532.2971;11.0053;485.0228;84.1099;47.0921;2.0737;6.9979;;174.1592;32.4435;-23.5981;148.3157;-31.2933;89.0913;-25.2767;49.8959;56.0193;;-53.9212;-7.7341;-2.4075;35.0743;67.8454;-36.4186;-22.2206;78.7136;-26.0137;274.2566;120.5407;85.9733;217.0088;0.4509;-14.6698;12.6706;17.6333;-87.3698;-58.5243;1128.0911;67.0275;75.3072;15.8712;-253.9045;263.2871;68.0542;104.1503;-406.2391;-25.5491;10.4038;-9.7516;802.6427;-655.5552;46.9718;3.7415;-8.0777;179.6029;;-148.483;256.2654;2.3187;786.9479;363.805;;22.6434;-4.3161
T+3;-28.9235;-195.9012;-379.7169;41.2679;-28.1957;-38.6829;-752.4696;35.3551;-54.3543;-15.9734;49.7285;109.0583;;-63.234;-51.1604;0.3592;31.2205;9.6496;10.8464;426.3203;20.2476;-117.9238;23.7381;62.4918;-901.2056;18.6011;-40.9949;127.4838;14.9709;-87.2016;-15.9835;113.2075;88.8131;-63.0097;20.3698;-64.0299;-13.6832;-3.5353;-140.541;-3376.1861;26.4424;-3.166;-2445.1335;154.1672;-12.0484;-38.0035;-1191.3462;26640.875;49.4347;84.0867;50.761;164.4519;-74.7719;-22.4896;-17.617;41.1882;138.0961;22.6526;340.64;43.1222;41.4734;;-52.1964;;-6.8644;;50.0825;-82.9907;119.8072;18.5976;175.5824;42.7625;476.4444;153.6725;-28.5951;5.3878;;-218.3633;123.7881;;10.9301;;67.0358;46.9275;1.913;7.0782;;179.8075;32.5001;-23.2841;152.3455;-31.2609;96.5465;-24.8169;49.9473;56.2568;;-53.893;-6.5174;16.5947;;59.5738;-36.1662;-24.0488;76.6361;;273.901;120.043;85.9717;217.0636;-5.764;-18.4149;;21.3706;-86.7375;;1140.1965;61.9852;75.4344;6.464;-247.571;264.5295;54.5474;103.1949;-405.3289;-28.9466;17.5116;-10.1386;441.1472;-649.1934;41.0159;3.9258;-10.3133;180.0133;44.3081;-143.5741;257.4993;1.9547;355.6004;379.9282;7.3139;36.4048;-2.2125
T+4;-25.361;-211.9207;-395.8311;41.2583;-27.5052;-38.242;-764.1291;34.9313;-54.1804;-19.9127;;107.7641;1.3758;-60.2596;-49.0997;22.6236;30.5215;10.1883;10.6477;;20.2516;-122.1855;;66.4724;-911.7162;17.6477;-40.9731;87.0318;13.4516;-88.7832;-29.9487;66.3498;100.624;-59.5688;21.9855;-64.8131;-16.1961;-8.37;-139.8916;-3170.3647;27.6278;-3.4926;-2409.6201;154.8754;;-2.4917;-1192.6369;25229.2163;48.2584;77.9152;47.2045;140.205;-73.749;-26.2738;-17.6016;51.1631;138.5703;14.0722;339.4879;43.8678;41.347;1032298.1682;-51.2701;-126.5457;-21.4288;;52.9824;-93.5436;;18.7044;242.0742;43.0387;477.1787;152.4728;-26.3326;-4.2097;;-218.7434;123.8915;;10.8906;485.2419;;46.6706;1.6623;7.0335;1339.2778;174.1348;32.3285;-23.1705;152.3855;-31.2755;89.0327;-24.8777;49.7277;55.9415;-470.8857;-53.916;-7.4932;-0.6772;35.1343;65.8739;-36.4963;-21.8236;79.148;-25.7201;273.4506;117.0305;85.9723;216.6485;2.5661;-15.3895;22.3049;18.1522;-87.0284;-75.6726;1126.8185;66.9885;75.4786;9.2555;-247.3341;266.0934;67.8512;82.2876;-385.4085;-28.4689;15.3689;-8.9858;801.13;-647.2587;46.9246;-20.0699;-7.9315;173.2889;45.076;-147.6759;260.2474;2.206;334.5166;380.0324;;40.0238;-790.7985
T+5;-21.6127;-209.6119;-391.0668;40.8075;-30.3515;-38.1214;-710.6229;35.2828;-54.73;-18.7011;46.4206;110.1205;-0.053;-58.2047;-49.4781;29.4137;31.4625;8.8421;10.6726;425.4391;20.4045;;24.0134;62.5908;-961.0052;24.4697;;123.1639;16.8908;-85.4246;;113.1296;98.4769;;20.4226;-64.1869;-14.093;-8.3215;-142.1998;-10498.6623;26.2518;-5.5357;-2302.2001;154.3209;;-1.7896;-1193.1909;25948.1016;48.8349;77.7332;48.8906;140.2668;-73.8612;-26.863;-17.4348;42.9264;145.8163;13.3192;341.7142;43.7278;41.9573;1034013.1089;-65.055;-127.2767;-6.7788;;55.2498;-90.8201;132.2606;18.6035;244.8113;43.0797;463.0643;159.1474;-28.9214;-2.242;84.9556;-217.9882;123.7904;;11.1005;483.9769;67.0676;46.9223;1.908;6.7749;1339.3279;174.1385;32.272;-23.5153;151.6704;-31.2872;89.7431;-24.4352;;56.017;-469.7015;-53.9358;-7.5242;11.1128;35.1071;71.3082;57.8607;-24.1224;71.5527;-26.1754;251.1427;120.2225;85.9723;194.3175;1.5614;-21.2264;15.7942;16.7193;-88.0947;-65.6913;1118.6874;65.5117;;5.6556;-248.9954;265.0243;71.7274;90.9713;;-29.143;17.1098;-8.4683;778.2696;-643.0662;44.2923;3.8899;-7.7093;181.0616;41.0793;-141.8549;257.6158;-0.5458;745.1385;360.4016;7.3863;25.4367;-61.9807
T+7;-21.7012;;;41.2136;;-37.7311;-701.7178;35.4505;-56.0017;-21.8975;48.6298;;1.3671;63.1552;-49.4121;22.5762;31.4266;7.4046;10.7024;422.787;20.28;-115.8671;23.805;60.6362;-913.5952;20.73;-40.9384;121.7218;13.2529;-88.653;-49.9368;112.3207;88.7083;-61.0783;19.6724;-65.9036;-14.1617;-10.2479;-55.3486;-3264.9624;26.1184;-3.3756;-2450.1761;150.1408;-12.2915;-2.4898;-1192.8699;26059.9999;48.7955;77.573;50.3395;141.3129;-73.7681;-20.5821;-17.529;28.1203;137.7558;13.2158;351.8211;43.1718;41.7181;1039113.1083;;-127.865;-6.8989;19.4755;53.3584;-87.0799;130.1921;18.5582;244.5664;43.1989;476.9248;152.3161;-28.4261;;156.0814;-218.3266;123.7683;-565.2293;10.9399;485.1898;67.3536;46.6662;1.658;7.2146;1338.6433;174.1861;32.2213;-23.2863;154.7706;-31.3104;89.245;-26.2629;51.0061;56.2277;-470.8971;-53.9169;-8.0694;164.9687;35.1022;68.3983;-37.0728;-23.4675;77.9444;-25.4935;273.1429;120.152;85.9723;216.6231;2.5333;;15.8654;12.1633;-69.2491;-65.3771;1124.3768;67.0041;77.4402;10.7471;-249.3097;261.7489;71.9013;86.1667;-389.1045;;16.9018;-10.0288;807.2202;-646.6462;46.8448;3.8675;-8.1354;161.0511;44.6287;-150.0606;257.2914;27.995;372.8742;380.4848;;36.5266;607.909
T+8;-24.2122;-220.4539;;42.1281;;-38.2765;-726.1627;36.1599;-54.3889;-17.7914;35.3049;108.1905;2.7177;-58.7617;-47.56;21.2308;30.196;7.2907;12.0157;426.6642;;-120.4806;23.8416;51.3186;-817.8406;22.8216;-40.9491;114.8416;13.7454;-90.5526;-25.5426;113.4976;82.8324;-59.9267;22.4171;-65.9494;-13.5376;-6.701;;-4605.2544;;-0.8596;-2370.3821;154.1988;-10.7385;-2.5511;-1428.0783;25442.1957;47.6492;77.8409;47.8641;140.4274;-74.2563;-15.0837;-17.6509;41.0239;136.3913;12.894;340.204;43.0643;41.8812;;-52.1402;-127.4058;-6.4599;-175.3507;-30.6678;-108.5395;129.9068;18.5988;241.6547;43.1579;;153.4569;-28.8889;-18.8192;173.4044;-218.3829;123.7907;-532.4035;10.8942;488.3897;67.0601;46.961;1.9457;6.952;1339.4387;174.2563;32.2276;-23.7305;152.631;-31.3695;89.2715;-24.8323;49.7656;55.8456;;-53.903;-8.0384;7.3056;35.1259;-695.0503;-36.4453;-818.1579;76.9612;-25.8692;274.8281;120.7168;;220.4159;2.7959;-17.7914;15.7642;18.3658;-87.4953;-60.876;1126.9858;67.6653;75.0216;-60.7034;-247.927;265.1903;68.6328;81.1385;-384.3137;-28.9302;17.8968;-9.81;806.4603;-648.1547;49.3364;3.6574;-8.1331;180.8;44.7535;-147.7027;254.9518;2.8257;315.9037;403.4465;6.2004;44.6166;
T+9;-23.1908;-209.9416;;40.7866;-27.8211;-37.5345;-732.8461;35.2955;-54.3731;-16.7279;47.8102;108.5615;1.3932;-59.4566;-49.4556;22.6134;30.9253;9.3775;10.7554;422.4078;20.3192;-116.3937;23.744;62.3336;-923.5793;14.4934;-40.9633;130.3163;12.5304;-88.8479;-32.386;111.1512;92.1258;-27.2175;24.3745;-65.9467;-13.8103;-19.7424;-140.624;-3262.1931;27.1455;-3.78;-2449.8262;154.4683;-10.5514;-2.7511;-1193.5835;24672.8696;48.8771;77.82;48.8733;;-73.5688;-22.1922;-17.4566;44.9448;;13.4311;324.248;43.0224;45.3698;;-52.4116;-127.2516;-4.7228;20.6482;49.1407;-92.2699;;18.6188;246.4358;43.2039;477.5945;152.3746;-30.4575;-2.0675;142.1771;-218.568;123.8353;-461.9001;;485.2705;67.5243;7.9545;-36.1287;6.7592;1339.7431;174.1497;33.1265;-23.7179;152.2356;;89.1742;;49.9128;55.9909;-469.8469;-53.9052;-7.2461;-7.052;34.9675;66.8015;-37.0499;-22.8986;78.8046;-25.1249;273.907;120.518;85.9724;216.9314;0.8062;-15.7078;41.1882;;-87.0141;-60.3923;1116.3014;67.0613;75.7355;11.3081;-255.351;265.1213;69.1732;115.8105;;-29.0771;16.4925;-5.6085;785.1122;;49.1475;3.0678;-8.5924;177.3286;42.7095;-129.0122;256.8156;1.698;344.1153;374.3556;6.989;42.7167;-15.0125
T+10;-21.9694;-205.5929;-390.6589;;-23.1749;-38.4195;-893.2926;35.641;-54.655;-18.788;48.1158;107.7467;3.8048;-56.3295;-44.2818;25.9866;30.5453;10.827;10.7596;425.4059;20.3945;-117.7516;23.1209;55.0999;-914.1856;22.6131;-40.9517;130.7174;13.4789;-88.1334;-24.4792;113.3048;116.015;-59.3254;20.923;-67.174;-13.5923;-8.8279;-141.3655;-2297.8174;26.4595;9.6247;-2458.3598;152.1348;-11.5452;-2.1008;-1188.9477;25204.5442;48.487;9.3253;49.0281;139.6664;-73.3994;-22.2286;-16.8716;40.4293;138.6282;-3.596;339.4041;43.3832;40.3078;;-51.1016;-127.0122;-6.7399;;49.5146;-83.1141;130.6386;18.7054;244.7598;43.0645;477.1721;152.7429;-27.6417;1.3135;265.7764;-219.2366;123.7898;-519.3784;10.9139;484.4903;67.0718;47.0109;1.9944;7.2192;1339.5738;174.1567;32.2574;-21.9119;151.8727;;88.7566;-25.2447;50.0168;56.0332;-471.7516;-54.1747;-8.0856;0.5314;35.1115;71.5951;-36.6458;-18.6124;78.0506;-25.7048;274.0039;120.2663;85.9723;217.6628;-106.2488;-15.4677;15.7754;17.8184;-87.5057;-60.9742;1128.5986;67.3493;75.2209;0.0379;-253.148;265.1638;123.2534;91.1203;-393.8243;-28.2481;17.0781;-9.4228;816.7981;;43.9586;3.9724;;182.3961;45.0721;-148.3195;258.2499;1.9878;324.6373;;7.5107;38.4917;507.7953
T+11;-22.474;-210.1427;-423.6705;22.3217;-27.0374;-38.0387;-754.4862;35.7908;-54.4242;-14.9394;47.9336;110.4233;1.1494;-57.1521;-49.3873;22.2179;30.4871;11.2453;10.6827;465.1948;20.4372;-115.9745;24.0591;57.0005;-897.7412;19.4564;-40.9577;;12.3938;-88.3489;-41.2697;117.7612;97.0763;-61.0948;23.6537;-66.1346;;-12.3235;-147.0583;-3206.7347;26.3236;-4.0631;-2436.884;154.4581;-11.8842;-2.4748;;27819.5354;48.1845;77.8092;51.9989;140.9665;-73.8288;-15.3612;-17.379;30.1926;137.2873;14.381;340.3466;;41.8387;;-53.2188;-133.0741;-21.4714;20.4593;52.1173;-91.9211;126.6758;18.5983;243.9346;43.1312;461.2643;152.6669;-28.272;-2.3215;170.6004;-218.5102;123.7996;-525.6147;10.8803;484.4637;;;;6.9117;1338.5941;175.5339;33.6354;-23.6582;163.3042;;89.256;-24.9442;50.0449;56.0099;-471.0273;;-7.7137;;35.0132;75.0724;-36.331;;77.5977;-21.7408;273.3072;107.7977;85.9721;215.5399;;-15.9094;14.7553;17.7876;-87.0824;-63.6775;1146.5766;67.5946;75.0141;15.1979;-255.989;264.3982;65.3947;80.7204;-383.9153;-28.282;26.0462;-10.4098;800.673;-645.5686;46.7247;4.4722;-10.4028;176.3859;44.8132;-158.9371;257.3022;3.2396;537.9298;380.5805;-0.3013;36.3232;
T+12;-20.6303;-209.1346;-383.8248;40.9;-26.9224;-39.6083;-724.2488;35.1034;-54.7737;-22.0198;54.6979;107.9113;1.4157;;-48.004;22.5901;32.6791;8.1891;10.6292;425.5971;20.2646;-123.0388;;61.9101;-972.8958;32.1575;-40.9362;93.6883;13.8009;-89.2544;-20.8393;113.1106;91.3717;-57.396;22.0653;-66.7164;-14.19;-9.1845;;-2558.9259;24.8742;;;154.7077;-6.8502;-2.8965;-1193.5709;24943.8366;;102.1309;28.9028;140.4364;-75.1708;-24.8387;-17.4357;42.0116;137.3577;13.3177;345.0878;44.5831;39.8829;1027343.9824;-51.615;-127.1607;-5.6824;34.2008;57.6135;17.6644;129.7154;18.6422;240.3623;43.5949;;152.3507;-31.792;-2.4253;-51.5599;-218.6339;125.1304;-532.7718;10.9811;485.9052;66.9547;46.9382;1.9235;47.601;1339.2445;174.2385;32.2533;-20.8895;153.6421;;89.3892;-24.9055;50.006;56.1096;-470.8162;;-3.6597;;35.0843;68.6524;-36.4697;-18.8055;79.8585;-25.9488;270.4133;118.3367;85.9724;216.6856;0.6843;-13.6715;22.0594;11.4728;-86.8939;-69.5536;1128.197;66.7058;74.6945;10.777;-250.2978;265.8597;68.0559;66.0802;;-29.0259;16.9358;-10.7285;775.1439;-649.6071;46.0097;4.43;-8.1248;187.1684;38.9895;-147.2236;;2.2538;;385.2497;;35.5652;110.3287
